cut;comuna;provincia;region;superficie;latitud;longitud
1101;IQUIQUE;IQUIQUE; TARAPACA;2242.1;-20.2439;-70.1389
1107;ALTO HOSPICIO;IQUIQUE; TARAPACA;572.9;-20.2569;-70.0219
1401;POZO ALMONTE;TAMARUGAL; TARAPACA;13765.8;-20.2908;-69.6958
1402;CAMIÑA;TAMARUGAL; TARAPACA;2200.2;-20.4828;-69.3669
1403;COLCHANE;TAMARUGAL; TARAPACA;4015.6;-19.2839;-68.6750
1404;HUARA;TAMARUGAL; TARAPACA;10474.6;-19.8089;-69.9719
1405;PICA;TAMARUGAL; TARAPACA;8934.3;-20.4828;-69.3778
2101;ANTOFAGASTA;ANTOFAGASTA; ANTOFAGASTA;30718.1;-23.6508;-70.3950
2102;MEJILLONES;ANTOFAGASTA; ANTOFAGASTA;3803.9;-23.1100;-70.4558
2103;SIERRA GORDA;ANTOFAGASTA; ANTOFAGASTA;12886;-22.8978;-69.3228
2104;TALTAL;ANTOFAGASTA; ANTOFAGASTA;20405.1;-25.4100;-70.4889
2201;CALAMA;EL LOA; ANTOFAGASTA;15596.9;-22.4739;-68.9239
2202;OLLAGUE;EL LOA; ANTOFAGASTA;2964;-21.2328;-68.2669
2203;SAN PEDRO DE ATACAMA;EL LOA; ANTOFAGASTA;23439;-22.9200;-68.2100
2301;TOCOPILLA;TOCOPILLA; ANTOFAGASTA;4038.8;-22.0819;-70.1889
2302;MARIA ELENA;TOCOPILLA; ANTOFAGASTA;12197;-22.3169;-69.6769
3101;COPIAPO;COPIAPO; ATACAMA;16681.3;-27.3750;-70.3289
3102;CALDERA;COPIAPO; ATACAMA;4666.6;-27.0658;-70.8258
3103;TIERRA AMARILLA;COPIAPO; ATACAMA;11191;-27.4728;-70.2828
3201;CHAÑARAL;CHAÑARAL; ATACAMA;5772;-26.3458;-70.6239
3202;DIEGO DE ALMAGRO;CHAÑARAL; ATACAMA;18664;-26.3900;-70.0519
3301;VALLENAR;HUASCO; ATACAMA;7084;-28.5769;-70.7700
3302;ALTO DEL CARMEN;HUASCO; ATACAMA;5939;-28.7489;-70.4908
3303;FREIRINA;HUASCO; ATACAMA;3207.9;-28.5058;-71.0758
3304;HUASCO;HUASCO; ATACAMA;1601.4;-28.4558;-71.1858
4101;LA SERENA;ELQUI; COQUIMBO;1892.8;-29.9069;-71.2469
4102;COQUIMBO;ELQUI; COQUIMBO;1429;-29.9708;-71.3069
4103;ANDACOLLO;ELQUI; COQUIMBO;310;-30.2300;-71.0858
4104;LA HIGUERA;ELQUI; COQUIMBO;4158.2;-29.5000;-71.2828
4105;PAIHUANO;ELQUI; COQUIMBO;1495;-30.0378;-70.5069
4106;VICUÑA;ELQUI; COQUIMBO;7610;-30.0189;-70.7150
4201;ILLAPEL;CHOAPA; COQUIMBO;2629;-31.6389;-71.1789
4202;CANELA;CHOAPA; COQUIMBO;2196.6;-31.3958;-71.4189
4203;LOS VILOS;CHOAPA; COQUIMBO;1823.8;-31.9150;-71.5058
4204;SALAMANCA;CHOAPA; COQUIMBO;3445;-31.7800;-70.9669
4301;OVALLE;LIMARI; COQUIMBO;3835;-30.5989;-71.1889
4302;COMBARBALA;LIMARI; COQUIMBO;2257.5;-31.1800;-71.0039
4303;MONTE PATRIA;LIMARI; COQUIMBO;4366.9;-30.7750;-70.9428
4304;PUNITAQUI;LIMARI; COQUIMBO;1339;-30.8328;-71.2600
4305;RIO HURTADO;LIMARI; COQUIMBO;2180;-30.2728;-70.6669
5101;VALPARAISO;VALPARAISO; VALPARAISO;401.6;-33.0333;-71.6667
5102;CASABLANCA;VALPARAISO; VALPARAISO;953;-33.3250;-71.4100
5103;CONCON;VALPARAISO; VALPARAISO;76;-32.9600;-71.4689
5104;JUAN FERNANDEZ;VALPARAISO; VALPARAISO;149.4;-33.6328;-78.8669
5105;PUCHUNCAVI;VALPARAISO; VALPARAISO;300;-32.7478;-71.3978
5107;QUINTERO;VALPARAISO; VALPARAISO;148;-32.8450;-71.4669
5109;VIÑA DEL MAR;VALPARAISO; VALPARAISO;121.6;-33.0250;-71.5150
5201;ISLA DE PASCUA;ISLA DE PASCUA; VALPARAISO;163.6;-27.1286;-109.3597
5301;LOS ANDES;LOS ANDES; VALPARAISO;1248;-32.8369;-70.5969
5302;CALLE LARGA;LOS ANDES; VALPARAISO;321.7;-32.8831;-70.4819
5303;RINCONADA;LOS ANDES; VALPARAISO;122.5;-32.8331;-70.6883
5304;SAN ESTEBAN;LOS ANDES; VALPARAISO;681;-32.8050;-70.5808
5401;LA LIGUA;PETORCA; VALPARAISO;1163;-32.3536;-71.2719
5402;CABILDO;PETORCA; VALPARAISO;1455;-32.4089;-71.0800
5403;PAPUDO;PETORCA; VALPARAISO;64.3;-32.4700;-71.3808
5404;PETORCA;PETORCA; VALPARAISO;1517;-32.2900;-70.9500
5405;ZAPALLAR;PETORCA; VALPARAISO;288;-32.5678;-71.4378
5501;QUILLOTA;QUILLOTA; VALPARAISO;302;-32.9150;-71.2639
5502;LA CALERA;QUILLOTA; VALPARAISO;60.5;-32.7839;-71.2039
5503;HIJUELAS;QUILLOTA; VALPARAISO;267;-32.8550;-71.0939
5504;LA CRUZ;QUILLOTA; VALPARAISO;78;-32.8239;-71.2439
5506;NOGALES;QUILLOTA; VALPARAISO;405;-32.7358;-71.2078
5601;SAN ANTONIO;SAN ANTONIO; VALPARAISO;405;-33.5947;-71.6072
5602;ALGARROBO;SAN ANTONIO; VALPARAISO;176;-33.3692;-71.6681
5603;CARTAGENA;SAN ANTONIO; VALPARAISO;246;-33.5536;-71.6075
5604;EL QUISCO;SAN ANTONIO; VALPARAISO;51;-33.3914;-71.6928
5605;EL TABO;SAN ANTONIO; VALPARAISO;99;-33.4800;-71.6208
5606;SANTO DOMINGO;SAN ANTONIO; VALPARAISO;536;-33.7078;-71.6300
5701;SAN FELIPE;SAN FELIPE DE ACONCAGUA; VALPARAISO;186;-32.7500;-70.7128
5702;CATEMU;SAN FELIPE DE ACONCAGUA; VALPARAISO;361.6;-32.7808;-70.9689
5703;LLAY-LLAY;SAN FELIPE DE ACONCAGUA; VALPARAISO;349.1;-32.8439;-70.9569
5704;PANQUEHUE;SAN FELIPE DE ACONCAGUA; VALPARAISO;121.9;-32.7839;-70.8369
5705;PUTAENDO;SAN FELIPE DE ACONCAGUA; VALPARAISO;1474;-32.6278;-70.7158
5706;SANTA MARIA;SAN FELIPE DE ACONCAGUA; VALPARAISO;166.3;-32.7503;-70.6669
5801;QUILPUE;MARGA MARGA; VALPARAISO;536.9;-33.0475;-71.4422
5802;LIMACHE;MARGA MARGA; VALPARAISO;294;-33.0028;-71.2608
5803;OLMUE;MARGA MARGA; VALPARAISO;232;-33.0089;-71.1700
5804;VILLA ALEMANA;MARGA MARGA; VALPARAISO;97;-33.0658;-71.3289
6101;RANCAGUA;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;260.3;-34.1619;-70.7408
6102;CODEGUA;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;287;-34.0328;-70.6669
6103;COINCO;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;98;-34.2728;-70.9528
6104;COLTAUCO;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;225;-34.2969;-71.0919
6105;DOÑIHUE;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;78;-34.1850;-70.8839
6106;GRANEROS;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;113;-34.0628;-70.7208
6107;LAS CABRAS;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;749;-34.2850;-71.3100
6108;MACHALI;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;2597;-34.1850;-70.6619
6109;MALLOA;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;113;-34.4450;-70.9450
6110;MOSTAZAL;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;524;-33.9769;-70.7089
6111;OLIVAR;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;45;-34.2139;-70.8189
6112;PEUMO;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;153.1;-34.3889;-71.1708
6113;PICHIDEGUA;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;320;-34.3569;-71.2869
6114;QUINTA DE TILCOCO;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;93;-34.3569;-70.9689
6115;RENGO;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;755;-34.4019;-70.8558
6116;REQUINOA;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;673;-34.2828;-70.8058
6117;SAN VICENTE;CACHAPOAL; LIB. GRAL. BERNARDO O' HIGGINS;497.8;-34.0828;-71.7500
6201;PICHILEMU;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;749.1;-34.4019;-72.0089
6202;LA ESTRELLA;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;435;-34.2000;-71.6669
6203;LITUECHE;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;619;-34.1189;-71.7278
6204;MARCHIHUE;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;660;-34.4000;-71.6333
6205;NAVIDAD;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;300;-33.9500;-71.8328
6206;PAREDONES;CARDENAL CARO; LIB. GRAL. BERNARDO O' HIGGINS;562;-34.6608;-71.8939
6301;SAN FERNANDO;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;2441;-34.5839;-70.9869
6302;CHEPICA;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;503;-34.7328;-71.2828
6303;CHIMBARONGO;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;498;-34.7078;-71.0419
6304;LOLOL;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;597;-34.7308;-71.6358
6305;NANCAGUA;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;111;-34.6489;-71.2028
6306;PALMILLA;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;237;-34.6039;-71.3578
6307;PERALILLO;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;282.6;-34.4828;-71.4828
6308;PLACILLA;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;146.9;-34.6328;-71.1169
6309;PUMANQUE;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;441;-34.6050;-71.6439
6310;SANTA CRUZ;COLCHAGUA; LIB. GRAL. BERNARDO O' HIGGINS;419.5;-34.6308;-71.3589
7101;TALCA;TALCA; MAULE;232;-35.4228;-71.6569
7102;CONSTITUCION;TALCA; MAULE;1344;-35.3389;-72.4139
7103;CUREPTO;TALCA; MAULE;1073.8;-35.0828;-72.0169
7104;EMPEDRADO;TALCA; MAULE;565;-35.5908;-72.2728
7105;MAULE;TALCA; MAULE;190;-35.5158;-71.5719
7106;PELARCO;TALCA; MAULE;332;-35.3778;-71.4450
7107;PENCAHUE;TALCA; MAULE;956.8;-35.4000;-71.8167
7108;RIO CLARO;TALCA; MAULE;431;-35.2169;-71.2500
7109;SAN CLEMENTE;TALCA; MAULE;4504;-35.5339;-71.4858
7110;SAN RAFAEL;TALCA; MAULE;263.5;-35.3169;-71.5328
7201;CAUQUENES;CAUQUENES; MAULE;2216;-35.9639;-72.3169
7202;CHANCO;CAUQUENES; MAULE;530;-35.7289;-72.5300
7203;PELLUHUE;CAUQUENES; MAULE;371;-35.8139;-72.5739
7301;CURICO;CURICO; MAULE;1328;-34.9758;-71.2239
7302;HUALAÑE;CURICO; MAULE;629;-34.9828;-71.8169
7303;LICANTEN;CURICO; MAULE;273;-34.9828;-72.0000
7304;MOLINA;CURICO; MAULE;1552;-35.0900;-71.2789
7305;RAUCO;CURICO; MAULE;309;-34.9289;-71.3108
7306;ROMERAL;CURICO; MAULE;1597;-34.9669;-71.1328
7307;SAGRADA FAMILIA;CURICO; MAULE;548.8;-35.0000;-71.3828
7308;TENO;CURICO; MAULE;618.4;-34.8728;-71.1619
7309;VICHUQUEN;CURICO; MAULE;426;-34.8228;-72.0350
7401;LINARES;LINARES; MAULE;1466;-35.8500;-71.5850
7402;COLBUN;LINARES; MAULE;2899.9;-35.7000;-71.4169
7403;LONGAVI;LINARES; MAULE;1454;-35.9658;-71.6819
7404;PARRAL;LINARES; MAULE;1638;-36.1469;-71.8219
7405;RETIRO;LINARES; MAULE;827;-36.0458;-71.7589
7406;SAN JAVIER;LINARES; MAULE;1313;-35.6000;-71.7500
7407;VILLA ALEGRE;LINARES; MAULE;190;-35.6650;-71.7419
7408;YERBAS BUENAS;LINARES; MAULE;262;-35.7500;-71.5828
8101;CONCEPCION;CONCEPCION; BIOBIO;221.6;-36.8150;-73.0289
8102;CORONEL;CONCEPCION; BIOBIO;279.4;-36.9819;-73.1569
8103;CHIGUAYANTE;CONCEPCION; BIOBIO;71.5;-36.9089;-73.0278
8104;FLORIDA;CONCEPCION; BIOBIO;608.6;-36.8208;-72.6619
8105;HUALQUI;CONCEPCION; BIOBIO;530.5;-36.9669;-72.9328
8106;LOTA;CONCEPCION; BIOBIO;135.8;-37.0889;-73.1550
8107;PENCO;CONCEPCION; BIOBIO;107.6;-36.7419;-72.9978
8108;SAN PEDRO DE LA PAZ;CONCEPCION; BIOBIO;112.5;-36.8639;-73.1078
8109;SANTA JUANA;CONCEPCION; BIOBIO;731.2;-37.1792;-72.9353
8110;TALCAHUANO;CONCEPCION; BIOBIO;92.3;-36.7358;-73.1050
8111;TOME;CONCEPCION; BIOBIO;494.5;-36.6239;-72.9500
8112;HUALPEN;CONCEPCION; BIOBIO;53.5;-36.7889;-73.1100
8201;LEBU;ARAUCO; BIOBIO;561.4;-37.6058;-73.6428
8202;ARAUCO;ARAUCO; BIOBIO;956.1;-37.2569;-73.2839
8203;CAÑETE;ARAUCO; BIOBIO;1089.2;-35.2828;-72.2328
8204;CONTULMO;ARAUCO; BIOBIO;638.8;-38.0050;-73.2250
8205;CURANILAHUE;ARAUCO; BIOBIO;994.3;-37.4719;-73.3478
8206;LOS ALAMOS;ARAUCO; BIOBIO;599.1;-37.6208;-73.4558
8207;TIRUA;ARAUCO; BIOBIO;624.4;-38.3389;-73.4839
8301;LOS ANGELES;BIOBIO; BIOBIO;1748.2;-36.9439;-72.3508
8302;ANTUCO;BIOBIO; BIOBIO;1884.1;-37.3269;-71.6778
8303;CABRERO;BIOBIO; BIOBIO;639.8;-37.0389;-72.3989
8304;LAJA;BIOBIO; BIOBIO;339.8;-37.2669;-72.7000
8305;MULCHEN;BIOBIO; BIOBIO;1925.3;-37.7150;-72.2389
8306;NACIMIENTO;BIOBIO; BIOBIO;934.9;-37.5008;-72.6758
8307;NEGRETE;BIOBIO; BIOBIO;156.5;-37.5828;-72.5169
8308;QUILACO;BIOBIO; BIOBIO;1123.7;-37.6800;-72.0069
8309;QUILLECO;BIOBIO; BIOBIO;1121.8;-37.4669;-71.9669
8310;SAN ROSENDO;BIOBIO; BIOBIO;92.4;-37.2578;-72.7158
8311;SANTA BARBARA;BIOBIO; BIOBIO;1254.9;-37.6628;-72.0178
8312;TUCAPEL;BIOBIO; BIOBIO;914.9;-37.6328;-73.3328
8313;YUMBEL;BIOBIO; BIOBIO;727;-37.0958;-72.5558
8314;ALTO BIOBIO;BIOBIO; BIOBIO;2124.6;-38.6189;-71.3242
9101;TEMUCO;CAUTIN; LA ARAUCANIA;464;-38.7269;-72.5989
9102;CARAHUE;CAUTIN; LA ARAUCANIA;1340.6;-38.7069;-73.1600
9103;CUNCO;CAUTIN; LA ARAUCANIA;1906.5;-38.9300;-72.0269
9104;CURARREHUE;CAUTIN; LA ARAUCANIA;1170.7;-39.3589;-71.5878
9105;FREIRE;CAUTIN; LA ARAUCANIA;935.2;-38.9539;-72.6219
9106;GALVARINO;CAUTIN; LA ARAUCANIA;568.2;-38.4000;-72.7833
9107;GORBEA;CAUTIN; LA ARAUCANIA;694.5;-39.0950;-72.6719
